Category,Vietnamese,English,RobloxCode,Description
"Interface","Bảng xếp hạng","Leaderboard","local function createLeaderboard(parent)
	local frame = Instance.new(""Frame"")
	frame.Size = UDim2.new(0, 200, 0, 300)
	frame.Position = UDim2.new(1, -220, 0, 20)
	frame.BackgroundColor3 = Color3.fromRGB(50, 50, 50)
	frame.BackgroundTransparency = 0.3
	frame.Parent = parent
	
	local title = Instance.new(""TextLabel"")
	title.Size = UDim2.new(1, 0, 0, 30)
	title.BackgroundColor3 = Color3.fromRGB(30, 30, 30)
	title.TextColor3 = Color3.fromRGB(255, 255, 255)
	title.Text = ""Bảng xếp hạng""
	title.Parent = frame
	
	local scrollingFrame = Instance.new(""ScrollingFrame"")
	scrollingFrame.Size = UDim2.new(1, 0, 1, -30)
	scrollingFrame.Position = UDim2.new(0, 0, 0, 30)
	scrollingFrame.BackgroundTransparency = 1
	scrollingFrame.Parent = frame
	
	local UIListLayout = Instance.new(""UIListLayout"")
	UIListLayout.Padding = UDim.new(0, 2)
	UIListLayout.Parent = scrollingFrame
	
	local leaderboard = {}
	
	function leaderboard:Update(data)
		-- Xóa các mục cũ
		for _, child in pairs(scrollingFrame:GetChildren()) do
			if child:IsA(""Frame"") then
				child:Destroy()
			end
		end
		
		-- Thêm các mục mới
		for i, entry in ipairs(data) do
			local entryFrame = Instance.new(""Frame"")
			entryFrame.Size = UDim2.new(1, 0, 0, 25)
			entryFrame.BackgroundColor3 = Color3.fromRGB(40, 40, 40)
			entryFrame.Parent = scrollingFrame
			
			local rankLabel = Instance.new(""TextLabel"")
			rankLabel.Size = UDim2.new(0, 30, 1, 0)
			rankLabel.BackgroundTransparency = 1
			rankLabel.TextColor3 = Color3.fromRGB(255, 255, 255)
			rankLabel.Text = i
			rankLabel.Parent = entryFrame
			
			local nameLabel = Instance.new(""TextLabel"")
			nameLabel.Size = UDim2.new(0.6, 0, 1, 0)
			nameLabel.Position = UDim2.new(0, 30, 0, 0)
			nameLabel.BackgroundTransparency = 1
			nameLabel.TextColor3 = Color3.fromRGB(255, 255, 255)
			nameLabel.TextXAlignment = Enum.TextXAlignment.Left
			nameLabel.Text = entry.name
			nameLabel.Parent = entryFrame
			
			local scoreLabel = Instance.new(""TextLabel"")
			scoreLabel.Size = UDim2.new(0.4, -30, 1, 0)
			scoreLabel.Position = UDim2.new(0.6, 0, 0, 0)
			scoreLabel.BackgroundTransparency = 1
			scoreLabel.TextColor3 = Color3.fromRGB(255, 255, 0)
			scoreLabel.Text = entry.score
			scoreLabel.Parent = entryFrame
		end
		
		scrollingFrame.CanvasSize = UDim2.new(0, 0, 0, #data * 27)
	end
	
	return leaderboard
end

local leaderboard = createLeaderboard(script.Parent)

-- Ví dụ dữ liệu
local data = {
	{name = ""NguyenVanA"", score = 1000},
	{name = ""TranThiB"", score = 850},
	{name = ""LeVanC"", score = 720},
	{name = ""PhamThiD"", score = 650},
	{name = ""HoangVanE"", score = 520},
}

leaderboard:Update(data)","Creating a leaderboard"
"Physics","Lực","Force","local part = script.Parent
local function applyForce()
	local bodyForce = Instance.new(""BodyForce"")
	bodyForce.Force = Vector3.new(0, 1000, 0) -- Lực hướng lên
	bodyForce.Parent = part
end

applyForce()","Applying force to an object"
"Physics","Vận tốc","Velocity","local part = script.Parent
local function setVelocity()
	part.Velocity = Vector3.new(0, 50, 0) -- Vận tốc hướng lên
end

setVelocity()","Setting velocity of an object"
"Physics","Mô phỏng","Simulation","local part = script.Parent
part.Anchored = false
part.CanCollide = true
part.Massless = false

local attachment = Instance.new(""Attachment"")
attachment.Parent = part

local linearVelocity = Instance.new(""LinearVelocity"")
linearVelocity.MaxForce = 1000
linearVelocity.VelocityConstraintMode = Enum.VelocityConstraintMode.Vector
linearVelocity.Attachment0 = attachment
linearVelocity.VectorVelocity = Vector3.new(10, 0, 0)
linearVelocity.Parent = part","Creating a physics simulation"
"Physics","Khớp nối","Joint","local part1 = script.Parent
local part2 = script.Parent.Parent.Part2

local attachment1 = Instance.new(""Attachment"")
attachment1.Parent = part1

local attachment2 = Instance.new(""Attachment"")
attachment2.Position = Vector3.new(0, 5, 0)
attachment2.Parent = part2

local springConstraint = Instance.new(""SpringConstraint"")
springConstraint.Attachment0 = attachment1
springConstraint.Attachment1 = attachment2
springConstraint.FreeLength = 5
springConstraint.Stiffness = 200
springConstraint.Damping = 10
springConstraint.Parent = part1","Creating a spring joint between parts"
"Physics","Va chạm","Collision","local part = script.Parent

part.Touched:Connect(function(otherPart)
	print(""Đã va chạm với "" .. otherPart.Name)
end)

part.TouchEnded:Connect(function(otherPart)
	print(""Đã kết thúc va chạm với "" .. otherPart.Name)
end)","Detecting collisions between parts"
"Physics","Trọng lực","Gravity","local part = script.Parent

-- Tắt trọng lực cho vật thể
local bodyForce = Instance.new(""BodyForce"")
bodyForce.Force = Vector3.new(0, part:GetMass() * workspace.Gravity, 0)
bodyForce.Parent = part","Counteracting gravity for an object"
"Physics","Bật lên","Bounce","local part = script.Parent
part.CustomPhysicalProperties = PhysicalProperties.new(
	0.7, -- Density
	0.3, -- Friction
	0.9, -- Elasticity (độ nảy)
	1, -- Friction weight
	1 -- Elasticity weight
)","Setting bounce properties for an object"
"Physics","Ma sát","Friction","local part = script.Parent
part.CustomPhysicalProperties = PhysicalProperties.new(
	0.7, -- Density
	0.9, -- Friction (ma sát cao)
	0.3, -- Elasticity
	1, -- Friction weight
	1 -- Elasticity weight
)","Setting friction properties for an object"
"Physics","Mô phỏng vải","Cloth simulation","local function createCloth(position, size, resolution)
	local cloth = Instance.new(""Part"")
	cloth.Anchored = true
	cloth.CanCollide = false
	cloth.Transparency = 1
	cloth.Position = position
	cloth.Size = Vector3.new(1, 1, 1)
	cloth.Parent = workspace
	
	local points = {}
	local constraints = {}
	
	-- Tạo lưới các điểm
	for x = 0, resolution do
		points[x] = {}
		for y = 0, resolution do
			local point = Instance.new(""Part"")
			point.Shape = Enum.PartType.Ball
			point.Size = Vector3.new(0.5, 0.5, 0.5)
			point.Position = position + Vector3.new(
				(x / resolution - 0.5) * size.X,
				0,
				(y / resolution - 0.5) * size.Z
			)
			point.Anchored = (x == 0 or x == resolution) and (y == 0 or y == resolution)
			point.CanCollide = false
			point.Parent = cloth
			
			points[x][y] = point
		end
	end
	
	-- Tạo các ràng buộc
	for x = 0, resolution do
		for y = 0, resolution do
			if x < resolution then
				local constraint = Instance.new(""RopeConstraint"")
				constraint.Attachment0 = createAttachment(points[x][y])
				constraint.Attachment1 = createAttachment(points[x+1][y])
				constraint.Length = (points[x][y].Position - points[x+1][y].Position).Magnitude
				constraint.Parent = cloth
				table.insert(constraints, constraint)
			end
			
			if y < resolution then
				local constraint = Instance.new(""RopeConstraint"")
				constraint.Attachment0 = createAttachment(points[x][y])
				constraint.Attachment1 = createAttachment(points[x][y+1])
				constraint.Length = (points[x][y].Position - points[x][y+1].Position).Magnitude
				constraint.Parent = cloth
				table.insert(constraints, constraint)
			end
		end
	end
	
	return cloth, points, constraints
end

local function createAttachment(part)
	local attachment = Instance.new(""Attachment"")
	attachment.Parent = part
	return attachment
end

local cloth, points, constraints = createCloth(
	Vector3.new(0, 10, 0),
	Vector3.new(10, 0, 10),
	10
)","Creating a cloth simulation"
"Animation","Tween","Tween","local part = script.Parent

local tweenInfo = TweenInfo.new(
	2, -- Thời gian
	Enum.EasingStyle.Quad, -- Kiểu easing
	Enum.EasingDirection.Out, -- Hướng easing
	-1, -- Số lần lặp lại (-1 là vô hạn)
	true, -- Đảo ngược
	0 -- Độ trễ
)

local tween = game:GetService(""TweenService""):Create(
	part,
	tweenInfo,
	{Position = part.Position + Vector3.new(0, 5, 0)}
)

tween:Play()","Creating a tween animation"
"Animation","Hoạt ảnh nhân vật","Character animation","local character = script.Parent
local humanoid = character:WaitForChild(""Humanoid"")
local animator = humanoid:WaitForChild(""Animator"")

local animation = Instance.new(""Animation"")
animation.AnimationId = ""rbxassetid://507766388"" -- ID hoạt ảnh nhảy

local animTrack = animator:LoadAnimation(animation)
animTrack:Play()

animTrack.Stopped:Connect(function()
	print(""Hoạt ảnh đã kết thúc"")
end)","Playing a character animation"
"Animation","Hoạt ảnh giao diện","UI animation","local frame = script.Parent

local function animateUI()
	-- Hiệu ứng xuất hiện
	frame.Position = UDim2.new(0.5, -100, 0, -200)
	frame.BackgroundTransparency = 1
	frame.Visible = true
	
	frame:TweenPosition(
		UDim2.new(0.5, -100, 0.5, -100),
		Enum.EasingDirection.Out,
		Enum.EasingStyle.Bounce,
		0.5,
		true
	)
	
	for i = 1, 0, -0.1 do
		frame.BackgroundTransparency = i
		wait(0.05)
	end
end

animateUI()","Creating a UI animation"
"Animation","Hoạt ảnh camera","Camera animation","local camera = workspace.CurrentCamera
local startCFrame = camera.CFrame
local endCFrame = CFrame.new(Vector3.new(0, 10, 0)) * CFrame.Angles(0, math.rad(180), 0)

local function animateCamera()
	local tweenInfo = TweenInfo.new(
		2,
		Enum.EasingStyle.Cubic,
		Enum.EasingDirection.InOut
	)
	
	local tween = game:GetService(""TweenService""):Create(
		camera,
		tweenInfo,
		{CFrame = endCFrame}
	)
	
	tween:Play()
end

animateCamera()","Creating a camera animation"
"Animation","Hoạt ảnh màu sắc","Color animation","local part = script.Parent

local function animateColor()
	local tweenInfo = TweenInfo.new(
		2,
		Enum.EasingStyle.Linear,
		Enum.EasingDirection.InOut,
		-1,
		true
	)
	
	local tween = game:GetService(""TweenService""):Create(
		part,
		tweenInfo,
		{Color = Color3.fromRGB(255, 0, 0)}
	)
	
	tween:Play()
end

animateColor()","Creating a color animation"
"Animation","Hoạt ảnh kích thước","Size animation","local part = script.Parent
local originalSize = part.Size

local function animateSize()
	local tweenInfo = TweenInfo.new(
		1,
		Enum.EasingStyle.Elastic,
		Enum.EasingDirection.Out,
		-1,
		true
	)
	
	local tween = game:GetService(""TweenService""):Create(
		part,
		tweenInfo,
		{Size = originalSize * 2}
	)
	
	tween:Play()
end

animateSize()","Creating a size animation"
"Animation","Hoạt ảnh trong suốt","Transparency animation","local part = script.Parent

local function animateTransparency()
	local tweenInfo = TweenInfo.new(
		2,
		Enum.EasingStyle.Sine,
		Enum.EasingDirection.InOut,
		-1,
		true
	)
	
	local tween = game:GetService(""TweenService""):Create(
		part,
		tweenInfo,
		{Transparency = 1}
	)
	
	tween:Play()
end

animateTransparency()","Creating a transparency animation"
"Animation","Hoạt ảnh đường dẫn","Path animation","local part = script.Parent

local points = {
	Vector3.new(0, 5, 0),
	Vector3.new(10, 10, 0),
	Vector3.new(10, 10, 10),
	Vector3.new(0, 5, 10),
	Vector3.new(0, 5, 0)
}

local function animatePath()
	for i = 1, #points - 1 do
		local startPoint = points[i]
		local endPoint = points[i+1]
		
		local tweenInfo = TweenInfo.new(
			2,
			Enum.EasingStyle.Linear,
			Enum.EasingDirection.InOut
		)
		
		local tween = game:GetService(""TweenService""):Create(
			part,
			tweenInfo,
			{Position = endPoint}
		)
		
		part.Position = startPoint
		tween:Play()
		tween.Completed:Wait()
	end
end

while true do
	animatePath()
end","Creating a path animation"
"Audio","Âm thanh","Sound","local sound = Instance.new(""Sound"")
sound.SoundId = ""rbxassetid://142376088"" -- ID âm thanh
sound.Volume = 0.5
sound.Looped = false
sound.Parent = workspace

sound:Play()

sound.Ended:Connect(function()
	print(""Âm thanh đã kết thúc"")
end)","Playing a sound"
"Audio","Âm thanh 3D","3D sound","local sound = Instance.new(""Sound"")
sound.SoundId = ""rbxassetid://142376088"" -- ID âm thanh
sound.Volume = 0.5
sound.RollOffMode = Enum.RollOffMode.LinearSquare
sound.RollOffMaxDistance = 100
sound.RollOffMinDistance = 10
sound.Parent = script.Parent -- Gắn vào một Part

sound:Play()","Creating a 3D sound"
"Audio","Hiệu ứng âm thanh","Sound effect","local sound = Instance.new(""Sound"")
sound.SoundId = ""rbxassetid://142376088"" -- ID âm thanh
sound.Volume = 0.5
sound.Parent = workspace

local distortion = Instance.new(""DistortionSoundEffect"")
distortion.Level = 0.5
distortion.Parent = sound

local echo = Instance.new(""EchoSoundEffect"")
echo.Delay = 0.5
echo.Feedback = 0.5
echo.Parent = sound

local pitch = Instance.new(""PitchShiftSoundEffect"")
pitch.Octave = 0.5
pitch.Parent = sound

sound:Play()","Adding sound effects"
"Audio","Âm nhạc nền","Background music","local musicService = {}

function musicService:Init()
	self.sound = Instance.new(""Sound"")
	self.sound.SoundId = ""rbxassetid://142376088"" -- ID âm nhạc
	self.sound.Volume = 0.3
	self.sound.Looped = true
	self.sound.Parent = workspace
end

function musicService:Play()
	self.sound:Play()
end

function musicService:Stop()
	self.sound:Stop()
end

function musicService:SetVolume(volume)
	self.sound.Volume = volume
end

function musicService:Fade(targetVolume, duration)
	local startVolume = self.sound.Volume
	local startTime = tick()
	
	while tick() - startTime < duration do
		local alpha = (tick() - startTime) / duration
		self.sound.Volume = startVolume + (targetVolume - startVolume) * alpha
		wait()
	end
	
	self.sound.Volume = targetVolume
end

musicService:Init()
musicService:Play()

-- Ví dụ: Sau 10 giây, giảm dần âm lượng
wait(10)
musicService:Fade(0, 3)","Creating background music"
"Audio","Âm thanh bước chân","Footstep sounds","local character = script.Parent
local humanoid = character:WaitForChild(""Humanoid"")

local footstepSounds = {
	[Enum.Material.Grass] = ""rbxassetid://142376088"",
	[Enum.Material.Sand] = ""rbxassetid://142376088"",
	[Enum.Material.Concrete] = ""rbxassetid://142376088"",
	[Enum.Material.Wood] = ""rbxassetid://142376088"",
	[Enum.Material.Metal] = ""rbxassetid://142376088""
}

local sound = Instance.new(""Sound"")
sound.Volume = 0.5
sound.Parent = character.HumanoidRootPart

humanoid.Running:Connect(function(speed)
	if speed > 0.1 then
		local raycastResult = workspace:Raycast(
			character.HumanoidRootPart.Position,
			Vector3.new(0, -10, 0),
			RaycastParams.new()
		)
		
		if raycastResult and raycastResult.Instance then
			local material = raycastResult.Instance.Material
			local soundId = footstepSounds[material] or footstepSounds[Enum.Material.Concrete]
			
			if soundId and not sound.IsPlaying then
				sound.SoundId = soundId
				sound:Play()
			end
		end
	end
end)","Creating footstep sounds"
"Audio","Âm thanh va chạm","Collision sounds","local part = script.Parent

local collisionSounds = {
	[Enum.Material.Grass] = ""rbxassetid://142376088"",
	[Enum.Material.Sand] = ""rbxassetid://142376088"",
	[Enum.Material.Concrete] = ""rbxassetid://142376088"",
	[Enum.Material.Wood] = ""rbxassetid://142376088"",
	[Enum.Material.Metal] = ""rbxassetid://142376088""
}

local sound = Instance.new(""Sound"")
sound.Volume = 0.5
sound.Parent = part

part.Touched:Connect(function(otherPart)
	if otherPart.CanCollide then
		local material = otherPart.Material
		local soundId = collisionSounds[material] or collisionSounds[Enum.Material.Concrete]
		
		if soundId and not sound.IsPlaying then
			sound.SoundId = soundId
			sound:Play()
		end
	end
end)","Creating collision sounds"
"Data","Lưu dữ liệu","Save data","local DataStoreService = game:GetService(""DataStoreService"")
local playerData = DataStoreService:GetDataStore(""PlayerData"")

local function saveData(player)
	local data = {
		coins = 100,
		level = 5,
		items = {""sword"", ""shield"", ""potion""}
	}
	
	local success, errorMessage = pcall(function()
		playerData:SetAsync(player.UserId, data)
	end)
	
	if success then
		print(""Đã lưu dữ liệu cho "" .. player.Name)
	else
		print(""Lỗi khi lưu dữ liệu: "" .. errorMessage)
	end
end

local function loadData(player)
	local success, data = pcall(function()
		return playerData:GetAsync(player.UserId)
	end)
	
	if success and data then
		print(""Đã tải dữ liệu cho "" .. player.Name)
		return data
	else
		print(""Không tìm thấy dữ liệu hoặc có lỗi"")
		return {
			coins = 0,
			level = 1,
			items = {}
		}
	end
end

game.Players.PlayerAdded:Connect(function(player)
	local data = loadData(player)
	-- Sử dụng dữ liệu
end)

game.Players.PlayerRemoving:Connect(function(player)
	saveData(player)
end)","Saving and loading player data"
"Data","Bảng dữ liệu","Data table","local itemDatabase = {
	[""sword""] = {
		name = ""Kiếm sắt"",
		damage = 10,
		durability = 100,
		rarity = ""Common"",
		description = ""Một thanh kiếm sắt cơ bản""
	},
	[""fire_sword""] = {
		name = ""Kiếm lửa"",
		damage = 20,
		durability = 150,
		rarity = ""Rare"",
		description = ""Thanh kiếm được tôi luyện trong lửa""
	},
	[""ice_sword""] = {
		name = ""Kiếm băng"",
		damage = 15,
		durability = 120,
		rarity = ""Uncommon"",
		description = ""Thanh kiếm có khả năng làm đóng băng kẻ địch""
	}
}

local function getItemInfo(itemId)
	return itemDatabase[itemId]
end

local itemInfo = getItemInfo(""fire_sword"")
if itemInfo then
	print(""Tên: "" .. itemInfo.name)
	print(""Sát thương: "" .. itemInfo.damage)
	print(""Độ bền: "" .. itemInfo.durability)
	print(""Độ hiếm: "" .. itemInfo.rarity)
	print(""Mô tả: "" .. itemInfo.description)
end","Creating a data table for items"
"Data","Hệ thống tiền tệ","Currency system","local currencyService = {}

function currencyService:Init()
	self.DataStoreService = game:GetService(""DataStoreService"")
	self.currencyStore = self.DataStoreService:GetDataStore(""PlayerCurrency"")
	self.cache = {}
end

function currencyService:GetCoins(player)
	if self.cache[player.UserId] then
		return self.cache[player.UserId]
	end
	
	local success, coins = pcall(function()
		return self.currencyStore:GetAsync(player.UserId) or 0
	end)
	
	if success then
		self.cache[player.UserId] = coins
		return coins
	else
		return 0
	end
end

function currencyService:AddCoins(player, amount)
	local currentCoins = self:GetCoins(player)
	local newCoins = currentCoins + amount
	
	self.cache[player.UserId] = newCoins
	
	-- Lưu vào DataStore
	spawn(function()
		local success, errorMessage = pcall(function()
			self.currencyStore:SetAsync(player.UserId, newCoins)
		end)
		
		if not success then
			print(""Lỗi khi lưu tiền: "" .. errorMessage)
		end
	end)
	
	return newCoins
end

function currencyService:RemoveCoins(player, amount)
	local currentCoins = self:GetCoins(player)
	local newCoins = math.max(0, currentCoins - amount)
	
	self.cache[player.UserId] = newCoins
	
	-- Lưu vào DataStore
	spawn(function()
		local success, errorMessage = pcall(function()
			self.currencyStore:SetAsync(player.UserId, newCoins)
		end)
		
		if not success then
			print(""Lỗi khi lưu tiền: "" .. errorMessage)
		end
	end)
	
	return newCoins
end

currencyService:Init()

-- Ví dụ sử dụng
game.Players.PlayerAdded:Connect(function(player)
	local coins = currencyService:GetCoins(player)
	print(player.Name .. "" có "" .. coins .. "" xu"")
end)","Creating a currency system"
"Data","Hệ thống kinh nghiệm","Experience system","local experienceService = {}

function experienceService:Init()
	self.DataStoreService = game:GetService(""DataStoreService"")
	self.experienceStore = self.DataStoreService:GetDataStore(""PlayerExperience"")
	self.cache = {}
	
	-- Cấu hình cấp độ
	self.levelConfig = {}
	for i = 1, 100 do
		self.levelConfig[i] = 100 * i * i -- Công thức tính XP cần cho mỗi cấp
	end
end

function experienceService:GetData(player)
	if self.cache[player.UserId] then
		return self.cache[player.UserId]
	end
	
	local success, data = pcall(function()
		return self.experienceStore:GetAsync(player.UserId) or {level = 1, xp = 0}
	end)
	
	if success then
		self.cache[player.UserId] = data
		return data
	else
		return {level = 1, xp = 0}
	end
end

function experienceService:AddExperience(player, amount)
	local data = self:GetData(player)
	local currentLevel = data.level
	local currentXP = data.xp
	
	-- Thêm XP
	currentXP = currentXP + amount
	
	-- Kiểm tra lên cấp
	while currentLevel < #self.levelConfig and currentXP >= self.levelConfig[currentLevel] do
		currentXP = currentXP - self.levelConfig[currentLevel]
		currentLevel = currentLevel + 1
		
		-- Thông báo lên cấp
		self:OnLevelUp(player, currentLevel)
	end
	
	-- Cập nhật dữ liệu
	data.level = currentLevel
	data.xp = currentXP
	self.cache[player.UserId] = data
	
	-- Lưu vào DataStore
	spawn(function()
		local success, errorMessage = pcall(function()
			self.experienceStore:SetAsync(player.UserId, data)
		end)
		
		if not success then
			print(""Lỗi khi lưu XP: "" .. errorMessage)
		end
	end)
	
	return data
end

function experienceService:OnLevelUp(player, newLevel)
	print(player.Name .. "" đã lên cấp "" .. newLevel .. ""!"")
	-- Thêm phần thưởng lên cấp ở đây
end

function experienceService:GetLevel(player)
	local data = self:GetData(player)
	return data.level
end

function experienceService:GetXP(player)
	local data = self:GetData(player)
	return data.xp
end

function experienceService:GetXPForNextLevel(player)
	local data = self:GetData(player)
	return self.levelConfig[data.level]
end

experienceService:Init()

-- Ví dụ sử dụng
game.Players.PlayerAdded:Connect(function(player)
	local data = experienceService:GetData(player)
	print(player.Name .. "" đang ở cấp "" .. data.level .. "" với "" .. data.xp .. "" XP"")
end)","Creating an experience system"